,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
274,6235.718838780429,6573.026468994594,12393.150396898984,12370.213265074592,4250.0955426332175,5083.5182414215415,44265.7510911483,3794.452906617237,35556.507326670944,23826.664296617637,9858.492516514354,11350.094861009926
275,6261.724042997589,6499.123705209135,12480.339224379015,12292.883067321367,4155.197867970558,5087.416062284604,47876.70651726574,3742.9772502000305,35263.97677534888,24302.149345900838,9798.554837027981,11248.704792861285
276,6202.437693411576,6517.463253562573,12521.993750132126,12213.413655510192,4136.639692072312,5075.5614236955,53513.63811287737,3652.2962906697835,34369.433847713364,24206.586169435075,9819.347799455089,11204.315699785035
277,6081.613015238717,6474.807281568446,12536.990653047445,12191.085407001112,4051.54232013271,5078.688505643303,43215.06979788056,3613.9754141010935,33464.23583377142,24156.135656503047,9787.607195518713,11226.741994753185
278,5924.110609025467,6302.227078848675,12360.973857474562,12167.154170360678,3981.4751068334276,5032.51929972086,39046.311611736506,3449.273491162904,32552.257310361743,24098.69400936443,9500.649866931675,11209.95500403654
279,5906.317561554721,6319.466275261816,12280.166010526615,12374.291693668016,3992.8502449880843,5065.68687178901,42160.20312375378,3402.881484659489,32237.447942217143,22714.546662119163,9673.803922644562,11352.978201325033
280,5976.0072695960325,6612.763735274157,12652.632099922002,12474.333514483451,4111.13208533522,5138.877697377766,40010.7079007031,3505.465750500878,33452.12778115048,22786.662687372114,10078.246031735256,11399.984777257227
281,6212.160530439918,6718.297123481588,12584.287545839126,12305.42179374335,4243.502816306177,5134.097114543954,39286.18885121339,3744.2381951281122,34591.2533717291,23241.17134907757,9802.435614337533,11379.886634722332
282,6535.916222787454,6706.605300633285,12460.06111099653,12164.7243657713,4124.779670986277,5163.196223188575,41047.900501450014,3819.7661647937343,33739.81511142416,24993.59503527548,9639.023443697562,11442.051252897061
283,6477.870074460968,6378.539531401806,12438.630457307641,11787.583278350352,3930.1929261176415,4963.852265151001,38758.277275772954,3646.20082544291,31989.959346645,27674.955699396058,9116.031854506466,11333.86522472397
284,6291.667007460101,6093.025765202952,12080.803032550028,11368.864673602977,3800.119660396978,4708.996773377238,38301.48558580394,3504.853345599815,30888.610880243723,27313.96072440359,8705.38538349397,11168.115358529303
285,6061.102433345374,6292.497496441954,11207.37096350151,10846.549079142524,3676.906020455707,4539.404820561735,34587.332134280594,3413.2731125845453,31735.205919500288,26147.025540464325,8265.981964800687,10845.11860730558
286,6197.71196280195,6870.473734093611,10557.387328309384,10727.787468099114,3523.912146558972,4613.654728367381,29224.911974420404,3573.0167451145862,31908.59323303224,25019.610532165803,8632.940945378637,10685.478585215726
287,6072.701112958561,6543.287971469782,9855.135798332685,10416.912166602493,3463.8541635422885,4509.21026847204,23021.16191300843,3432.875601956669,29553.334837205763,27488.494171182927,8181.163948519204,10352.506384981853
