name,scn_name,bus,carrier,p_set
72469 CH4_for_industry,eGon2035,72469,CH4_for_industry,0.0
72469 rural_gas_boiler,eGon2035,72469,rural_gas_boiler,0.0
72470 CH4_for_industry,eGon2035,72470,CH4_for_industry,0.0
72470 rural_gas_boiler,eGon2035,72470,rural_gas_boiler,0.0
72471 CH4_for_industry,eGon2035,72471,CH4_for_industry,0.0
72471 rural_gas_boiler,eGon2035,72471,rural_gas_boiler,0.0
72472 CH4_for_industry,eGon2035,72472,CH4_for_industry,0.0
72472 rural_gas_boiler,eGon2035,72472,rural_gas_boiler,0.0
72473 CH4_for_industry,eGon2035,72473,CH4_for_industry,0.0
72473 rural_gas_boiler,eGon2035,72473,rural_gas_boiler,0.0
72474 CH4_for_industry,eGon2035,72474,CH4_for_industry,0.0
72474 rural_gas_boiler,eGon2035,72474,rural_gas_boiler,0.0
72475 CH4_for_industry,eGon2035,72475,CH4_for_industry,0.0
72475 rural_gas_boiler,eGon2035,72475,rural_gas_boiler,0.0
72476 CH4_for_industry,eGon2035,72476,CH4_for_industry,0.0
72476 rural_gas_boiler,eGon2035,72476,rural_gas_boiler,0.0
72477 CH4_for_industry,eGon2035,72477,CH4_for_industry,0.0
72477 rural_gas_boiler,eGon2035,72477,rural_gas_boiler,0.0
72478 CH4_for_industry,eGon2035,72478,CH4_for_industry,0.0
72478 rural_gas_boiler,eGon2035,72478,rural_gas_boiler,0.0
72492 H2_for_industry,eGon2035,72492,H2_for_industry,0.0
72492 H2_hgv_load,eGon2035,72492,H2_hgv_load,0.0
72493 H2_for_industry,eGon2035,72493,H2_for_industry,0.0
72493 H2_hgv_load,eGon2035,72493,H2_hgv_load,0.0
72494 H2_for_industry,eGon2035,72494,H2_for_industry,0.0
72494 H2_hgv_load,eGon2035,72494,H2_hgv_load,0.0
72495 H2_for_industry,eGon2035,72495,H2_for_industry,0.0
72495 H2_hgv_load,eGon2035,72495,H2_hgv_load,0.0
72496 H2_for_industry,eGon2035,72496,H2_for_industry,0.0
72496 H2_hgv_load,eGon2035,72496,H2_hgv_load,0.0
72497 H2_for_industry,eGon2035,72497,H2_for_industry,0.0
72497 H2_hgv_load,eGon2035,72497,H2_hgv_load,0.0
72498 H2_for_industry,eGon2035,72498,H2_for_industry,0.0
72498 H2_hgv_load,eGon2035,72498,H2_hgv_load,0.0
72499 H2_for_industry,eGon2035,72499,H2_for_industry,0.0
72499 H2_hgv_load,eGon2035,72499,H2_hgv_load,0.0
72500 H2_for_industry,eGon2035,72500,H2_for_industry,0.0
72500 H2_hgv_load,eGon2035,72500,H2_hgv_load,0.0
72501 H2_for_industry,eGon2035,72501,H2_for_industry,0.0
72501 H2_hgv_load,eGon2035,72501,H2_hgv_load,0.0
72502 H2_for_industry,eGon2035,72502,H2_for_industry,0.0
72502 H2_hgv_load,eGon2035,72502,H2_hgv_load,0.0
72503 H2_for_industry,eGon2035,72503,H2_for_industry,0.0
72503 H2_hgv_load,eGon2035,72503,H2_hgv_load,0.0
72504 H2_for_industry,eGon2035,72504,H2_for_industry,0.0
72504 H2_hgv_load,eGon2035,72504,H2_hgv_load,0.0
72505 H2_for_industry,eGon2035,72505,H2_for_industry,0.0
72505 H2_hgv_load,eGon2035,72505,H2_hgv_load,0.0
72506 H2_for_industry,eGon2035,72506,H2_for_industry,0.0
72506 H2_hgv_load,eGon2035,72506,H2_hgv_load,0.0
72507 H2_for_industry,eGon2035,72507,H2_for_industry,0.0
72507 H2_hgv_load,eGon2035,72507,H2_hgv_load,0.0
72508 H2_for_industry,eGon2035,72508,H2_for_industry,0.0
72508 H2_hgv_load,eGon2035,72508,H2_hgv_load,0.0
72509 H2_for_industry,eGon2035,72509,H2_for_industry,0.0
72509 H2_hgv_load,eGon2035,72509,H2_hgv_load,0.0
72510 H2_for_industry,eGon2035,72510,H2_for_industry,0.0
