,0 AC,1 AC,10 AC,11 AC,2 AC,3 AC,4 AC,5 AC,6 AC,7 AC,8 AC,9 AC
46,7802.441899936972,6110.358968780863,10289.011554547242,11673.303136485021,3701.622394469473,4889.891230555085,23712.23265549221,3648.1370437110345,37653.622040618844,24287.67847946709,8186.8910314595905,10517.349269041799
47,7739.538817109296,5848.5923568978715,9638.005970017062,11471.667537777337,3651.853813001108,4786.771137290325,21673.059872244547,3488.6318286201868,36664.63630253995,26878.191127611743,7797.206253026504,10193.220437872344
48,7501.534984665304,5617.635284568107,9326.402035065525,11325.767274649485,3873.3352097553084,4791.776826775112,21729.81146240506,3493.7686765457365,36356.607443863075,25238.39873386674,7548.41107767442,10193.12888425086
49,7357.537413467691,5421.519593647681,9065.341723683428,11235.769398625005,3818.1411261464964,4750.628317282359,19837.267468229937,3426.3648719881207,35614.14165714665,23898.25520171754,7379.208907659145,10110.945794117508
50,7023.681510150409,5022.990300191425,8833.564297799618,10971.13478766826,3755.878132424632,4615.0204364936835,19179.254796306934,3234.002954475491,34755.438565269134,23596.475611029655,6884.737538380088,9957.031753280507
51,6781.433131691106,4722.442228511381,8805.138640090556,10849.691288310265,3703.3467259110994,4597.219925657035,18817.971143550447,3108.6009721105065,34165.534241576635,21196.283819052293,6483.595293342195,9925.302177348189
52,6358.995888233294,4578.4950448597465,8814.319669903272,10914.60114074451,3820.1585687658044,4815.520707442992,18805.60219477021,2937.7969497924123,34666.80762008381,18736.189170127767,6315.631207749849,10133.550981536846
53,6259.0495254816,4532.713426476597,9162.735356762096,11311.168185498871,4034.685889403954,5056.597498658024,19164.804239782094,2900.5797415561583,37404.68047873219,16998.008199287757,6170.441462388436,10851.894950498467
54,6594.175993850234,4716.830580149398,10370.464873607609,11831.280358829526,4328.0389842342665,5180.33503367947,23790.759161386726,3273.794331438109,39959.47958175186,14923.233024404259,6881.494204656884,11717.032426558779
55,6997.522783989097,4892.223000298711,11061.813964642874,12107.535389486391,4508.91196086259,5210.155030988848,33955.93438589115,3660.6498994731564,41042.90813027414,14640.930234829097,7499.049951998245,11958.73535263082
56,7401.339665140714,5271.915147927599,11442.946746976055,12508.70501699698,4560.096048060918,5336.9567293209375,44915.5534313374,3880.953611056798,41330.11113844298,15307.349529902425,8230.503803369731,12021.67573468933
57,7521.682471415297,5396.955152082342,11668.357238398346,12760.379768638664,4602.420590434852,5344.348331803517,46486.602161210736,3899.3818509447074,41066.63991341119,18127.517509839534,8472.366709666896,11984.439688273393
58,7584.133153544144,5549.749942856585,11741.529546685068,12867.580857097295,4581.525879621978,5358.380919290206,44159.742285815664,3946.340005682665,40944.590742992055,19811.68068163211,8635.729324683676,11898.95718261379
59,7611.522822605018,5542.036532835814,11868.701429223056,12859.63758808146,4473.749163272741,5360.4999043381995,47803.03670735818,3914.127269525441,40695.16485900056,21682.550500424564,8563.019516475528,11801.63707539187
60,7573.634378028469,5503.378041199529,11983.219703477695,12827.24687654266,4451.209851114834,5348.509077843559,53352.2238134895,3852.7212261105224,40125.602063711245,22611.867299950885,8566.519528983416,11749.765864964515
61,7464.753839903343,5442.529882882229,12106.032491815222,12828.643845854614,4368.006343502396,5349.371499073845,43153.43010160595,3864.6423055705013,39534.244773704224,23202.991929946707,8534.095017319498,11743.535159168774
62,7323.546162264378,5272.239941381384,11974.54380660952,12837.132675145795,4310.54654557207,5302.183039000834,38966.00934186508,3738.7468305196917,39026.19088572932,23656.012995542438,8263.888341314912,11692.538546348058
63,7326.241138423889,5336.610941266431,11970.56838817147,13033.84632151424,4347.855376380514,5333.4307759628855,41984.863693723055,3695.8073249202234,39353.10830649487,22386.008747174572,8499.179666450273,11775.654300039416
64,7408.261313173251,5705.533294769504,12406.530989229006,13097.220712874443,4503.344377419098,5406.56174367054,39907.27324677701,3797.9423133791324,41137.83526282236,22415.82392565685,9021.47311172885,11764.84606951207
65,7648.779943636965,5867.686214970372,12336.745030569025,12917.118412521688,4678.299334114042,5404.816640047581,39177.9388279296,4046.1865564384766,42625.67276888424,22628.754865590105,8872.513282514463,11687.624066201453
66,7994.967725492665,5953.091362073762,12263.928933330164,12833.161493834155,4584.836171396308,5441.692499505935,40928.66367855271,4115.497360311987,41942.77860106287,24196.997496603995,8910.883411455212,11699.114270622975
67,7985.698379961302,5734.955055602346,12293.612637558435,12556.300994654357,4379.836697731099,5257.237980881706,38727.863724897084,3983.056786135695,39881.98804497781,27124.6109345923,8532.598374785473,11566.736304843178
68,7880.601651882585,5487.655466740802,12006.619370358467,12288.340322607732,4247.3302184922695,5013.641240103519,38184.94054411477,3860.8355746132347,38188.313644359834,26964.542763467507,8198.58504592885,11394.338360064237
69,7730.822026015151,5664.785649635593,11261.576666921828,11880.479849714295,4147.595588401579,4851.144779302912,34493.01279536047,3744.719505075553,39063.968009906675,25934.700774709287,7824.262791996941,11076.929145656812
70,7925.2034733898045,6239.639769452621,10712.43087384647,11855.99344009811,3986.4659108225233,4929.859039169139,29234.786631992745,3843.333696047477,39214.592184511246,24733.333497333446,8258.717541091177,10919.139451184854
71,7868.235497073699,5945.2016731807435,10039.545860114917,11589.248683466041,3921.3245704425044,4828.154564021709,22934.234500481423,3657.2654161735736,37765.98476894123,27170.384461761834,7866.840945919286,10581.203542272786
72,7924.538853332794,5677.159437571925,9342.329657157477,11287.809542748844,3992.246327856346,4986.367662407457,20776.873311889525,3461.9248766748233,37433.73980502246,25362.682248568344,7251.955173303173,10375.15239919683
73,7779.001904051788,5507.671791547381,9083.416791167972,11200.262734132744,3945.7355372869674,4950.868973525253,19640.772267227985,3393.7619919089507,36652.52824991901,24268.364291772057,7075.2598456094265,10293.53177928257
