name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
59,eGon2035,4,5,DC,600.0,True,2400.0,11704.347128902484,519.0192223851554,1.0,600.0,-1.0,1.0,0.0,600.2211954738373,DK,inf,False,,,,,,1.0,1.0
60,eGon2035,4,48653,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,2.5582833120711848,DE,31.0,False,,,,,,1.0,1.0
61,eGon2035,4,51856,central_heat_pump,0.6802888460569168,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6802888460569168,DE,inf,False,,,,,,1.0,1.0
62,eGon2035,4,51856,central_resistive_heater,0.16204002832453837,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16204002832453837,DE,inf,False,,,,,,1.0,1.0
63,eGon2035,4,51862,central_heat_pump,2.2044570441002467,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.2044570441002467,DE,inf,False,,,,,,1.0,1.0
64,eGon2035,4,51862,central_resistive_heater,2.9255724402901855,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9255724402901855,DE,inf,False,,,,,,1.0,1.0
65,eGon2035,4,52040,rural_heat_pump,377.8468188366236,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,377.8468188366236,DE,inf,False,,,,,,1.0,1.0
66,eGon2035,4,69914,BEV_charger,778.8904949426651,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,778.8904949426651,DE,inf,False,,,,,,1.0,1.0
67,eGon2035,4,71387,power_to_H2,0.0,True,4.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,3.9767619045560467,DE,31.0,False,,,,,,1.0,1.0
68,eGon2035,4,71388,power_to_H2,0.0,True,13.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,12.999692189297715,DE,31.0,False,,,,,,1.0,1.0
69,eGon2035,4,71396,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,0.995726739347014,DE,31.0,False,,,,,,1.0,1.0
70,eGon2035,4,71545,central_resistive_heater,0.020867156190987397,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.020867156190987397,DE,inf,False,,,,,,1.0,1.0
71,eGon2035,4,71563,central_heat_pump,0.437628566783699,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.437628566783699,DE,inf,False,,,,,,1.0,1.0
72,eGon2035,4,71563,central_resistive_heater,0.3269955577665048,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3269955577665048,DE,inf,False,,,,,,1.0,1.0
